model,disease,normal_n,disease_n,GT_group_difference,AI_group_difference,bias_difference,ci95_low,ci95_high,interval
M0,A,30,28,-0.00142743701001476,-0.0016015526605942746,-0.00017411565057951422,-0.00032288857794215763,-2.5634342194760516e-05,unadjusted descriptive; no causal attribution
M0,D,30,30,-0.002203453363695205,-0.002388097230030077,-0.00018464386633487142,-0.0004170938547154432,2.991373973782561e-05,unadjusted descriptive; no causal attribution
M0,G,30,30,-0.0019327498805900107,-0.00214579539161543,-0.00021304551102541494,-0.0003674381695457217,-5.652877083411394e-05,unadjusted descriptive; no causal attribution
M1,A,30,28,-0.00142743701001476,-0.0016014405219422498,-0.00017400351192748843,-0.0003251171187093169,-2.4788285284733883e-05,unadjusted descriptive; no causal attribution
M1,D,30,30,-0.002203453363695205,-0.0023892842868106666,-0.0001858309231154591,-0.00040420870515102067,2.020520576451642e-05,unadjusted descriptive; no causal attribution
M1,G,30,30,-0.0019327498805900107,-0.00214053493620954,-0.0002077850556195269,-0.00035687292393156797,-5.722271944636191e-05,unadjusted descriptive; no causal attribution
