key,disease,M0_error,M1_error,delta_error,delta_dice,delta_area_relative,delta_missing_d1,delta_extra_d1
train/105_A.png,A,0.07692954077559766,0.05982941893197765,-0.01710012184362001,0.0026000425158356766,0.017228343567209838,-0.007562707449266834,0.007898827780345362
train/154_D.png,D,0.11838390966831334,0.10790402258292167,-0.010479887085391673,0.0026074059675669226,0.0019878611388637196,-0.01118560338743825,0.001340860973888497
train/304_G.png,G,0.16470745988468244,0.13409019800652572,-0.03061726187815672,0.009030922497190286,0.034112143112307994,-0.028784695838734192,0.007374960890358915
train/453_N.png,N,0.08745973878880119,0.06625845043004283,-0.021201288358758355,0.002224949282057631,0.017978926167773433,-0.010512158000920258,0.008176122889604644
train/110_A.png,A,0.026299198414842836,0.006935062595694858,-0.01936413581914798,0.010139888741095726,-0.00882854124740734,-0.01720255786724309,0.003962892911825638
train/155_D.png,D,0.021936656282450676,0.006749740394600207,-0.015186915887850469,-0.01021260839606164,-0.00011037059048266129,0.005062305295950156,0.021287642782969893
train/307_G.png,G,0.14984534856055198,0.14670473471330003,-0.0031406138472519496,0.0012139258026979682,0.00805062284654122,-0.0009992862241256228,0.006519152985962409
train/459_N.png,N,0.08603302097278001,0.07242302543507363,-0.01360999553770638,0.0003082811136859709,0.010645437935791785,-0.007452030343596608,0.007005800981704596
train/112_A.png,A,0.04256214578306492,0.03686661803490264,-0.005695527748162281,0.000403165169095554,0.004560634819398425,-0.0023567701026878385,0.002076202233320241
train/160_D.png,D,0.0770211796857208,0.07219312229560465,-0.004828057390116144,-0.0004336311935528858,0.008609379646528552,0.002778410384878152,0.01061261671601002
train/312_G.png,G,0.011583011583011582,0.007893607893607893,-0.0036894036894036895,-0.00017726059375222647,0.013623191624013233,-0.0042900042900042915,0.014757614757614754
train/471_N.png,N,0.07224051426779554,0.06808560677328317,-0.004154907494512375,0.0006943319043362095,-0.001779936149179713,-0.004154907494512389,-0.0003527751646284095
train/113_A.png,A,0.005008720540226287,0.025311927015786415,0.02030320647556013,-0.0032399718107299913,0.011789261764836498,-0.0039354232816063706,0.016636107508608736
train/161_D.png,D,0.16664037606082593,0.15704956305013093,-0.009590813010695004,0.002623939471278036,0.005726429804069538,-0.00419598069217908,0.0024923494337003495
train/316_G.png,G,0.5941230486685032,0.5234159779614325,-0.07070707070707072,0.03152069139312286,0.061073078609246934,-0.05096418732782371,0.04224058769513314
train/472_N.png,N,0.03237472615363216,0.026080606461035574,-0.0062941196925965885,0.0017086949443888555,0.004075048604351865,-0.00118232082623361,0.0016343846715582318
train/117_A.png,A,0.09539174319516837,0.07421196326631918,-0.021179779928849188,0.002845843463770925,0.01765132323832952,-0.012947795151816002,0.002688839248779681
train/164_D.png,D,0.03667035991279174,0.02112298509596483,-0.015547374816826907,0.0015595999251195591,0.0036748355686632497,-0.006719325208191858,0.008649344150970375
train/320_G.png,G,0.1510699573475265,0.13112901461849732,-0.019940942729029187,0.0009438328255072514,0.017420757667416194,-0.011847909299697423,0.0055411760417046416
train/476_N.png,N,0.005581078781691339,0.0030627871362940277,-0.0025182916453973113,-0.0014705077082712847,0.011500396116872216,-0.003369065849923431,0.004287901990811641
train/120_A.png,A,0.1583961474036851,0.13929020100502512,-0.01910594639865998,0.0011229184233148004,0.019498812848302925,-0.01606993299832496,0.0034024288107202677
train/175_D.png,D,0.10538862900323857,0.10192515293270961,-0.0034634760705289647,0.0026096725123180287,0.002379305317297589,-0.005262684418855704,0.001844188557034901
train/325_G.png,G,0.024401265250790782,0.04714565446603404,0.022744389215243258,-0.0007535051265301629,0.02731594457438634,-0.01656876035547522,0.016418135261334538
train/486_N.png,N,0.05404103650900684,0.04498603217416434,-0.0090550043348425,0.0003055987452347253,0.010651120743608168,-0.007353177279003309,0.003275214333879204
train/133_A.png,A,0.040725233054194974,0.03385210933796808,-0.006873123716226892,-0.001502635695923793,0.011197716863128038,-0.004779586032548584,0.0020540369726655093
train/177_D.png,D,0.04246361121135571,0.019688038814707886,-0.022775572396647823,-0.0011602273115254302,0.011403224557791726,-0.006495849873691811,0.01311199326356309
train/330_G.png,G,0.10094598718339945,0.10460787305462313,0.00366188587122368,0.0010510997225645635,0.006449459688621886,0.002929508696978944,0.001464754348489472
train/487_N.png,N,0.020207158050494774,0.014704522334227319,-0.005502635716267456,-0.0002310867579712328,0.014639395975447268,-0.004577822990844353,0.00443910108203089
train/137_A.png,A,0.038234403391883706,0.016959418534221685,-0.02127498485766202,2.3957562895748907e-05,0.012931854364859129,-0.0103725015142338,0.008706844336765596
train/184_D.png,D,0.13315242388004783,0.12965688529114158,-0.0034955385889062496,0.0049461289256589325,0.009423088275043578,-0.011406494342746737,-0.0014258117928433456
train/332_G.png,G,0.04833483826419504,0.03675572316354172,-0.01157911510065332,-0.0017078472295291025,0.012072003269221754,-0.004833483826419509,0.0091358155840017
train/489_N.png,N,0.019813858794444847,0.01534210717661601,-0.004471751617828836,0.0002569586175801275,0.003715631670013514,-0.0036719261252090435,0.000690758379989817
train/138_A.png,A,0.03695827106563973,0.03287734222324405,-0.0040809288423956785,0.00490946230274758,0.020063006152171402,-0.01707092769283826,0.0018392918726290314
train/187_D.png,D,0.25977038843614303,0.24460174885491642,-0.015168639581226606,0.002026910759733158,0.007823097063184126,-0.008625304859913141,0.012313366248289812
train/335_G.png,G,0.12814043939871755,0.11005991800693787,-0.01808052139177968,0.001782888798251947,0.013261239929542895,-0.011247766214653634,0.008567223799011883
train/491_N.png,N,0.06612945321675584,0.04971943103223281,-0.016410022184523032,0.0019093654575840224,0.01294162976257828,-0.008286571838705459,0.007895080255774498
train/13_A.png,A,0.10242032111190989,0.08761083153606518,-0.014809489575844714,0.0036436974112445952,0.008704126309737895,-0.01040019170860293,0.005367840881859574
train/198_D.png,D,0.06459805653710247,0.060678003533568906,-0.003920053003533569,0.0017916722837164611,0.008192972410390485,-0.0023741166077738546,0.005410777385159007
train/340_G.png,G,0.14430084904951537,0.11559846720264483,-0.028702381846870545,-0.0006394563762424088,0.008893175447481229,-0.011007588849650612,0.014313622360808471
train/505_N.png,N,0.06741005148940203,0.0622926998768045,-0.005117351612597534,0.001390458478613521,0.002319586323556968,-0.0024954986258963197,0.0019900811826768193
train/143_A.png,A,0.12003045170021993,0.05523600067670445,-0.06479445102351548,0.020483278914266045,0.08355536069609794,-0.03924885806124176,0.02368465572661141
train/202_D.png,D,0.14492469214541528,0.12044350684393858,-0.024481185301476707,-0.0004455731339289004,0.029079377691385425,-0.008585586027572006,0.01707305107197174
train/350_G.png,G,0.015008179813642506,0.041468098726794224,0.02645991891315172,0.002443408500334754,0.013923627302744688,-0.012874315385162524,0.0116651255423572
train/511_N.png,N,0.040571515892420536,0.022921760391198046,-0.01764975550122249,0.00043062390474934986,0.005074808976530034,-0.00924511002444988,0.006800122249388755
train/144_A.png,A,0.024596584678051075,0.017311608961303463,-0.007284975716747612,0.015005998316798386,0.005667817998857733,-0.01934826883910387,-0.011593294689017708
train/203_D.png,D,0.04018126888217523,0.02035498489425982,-0.01982628398791541,0.0012835463800303648,0.009386510663323737,-0.00876132930513595,0.00808157099697885
train/351_G.png,G,0.02031063321385902,0.016588548846613364,-0.0037220843672456545,0.0004311152637621607,0.010518130096544263,-0.00445731090892381,-0.00018380663541954154
train/522_N.png,N,0.0017287443030017287,0.008015087223008015,0.006286342920006287,-0.0003238100500950747,0.003012801688039069,-0.004086122898004089,0.000903661794750904
train/145_A.png,A,0.015139900344959755,0.01066819982113198,-0.004471700523827775,-0.0010223579768764424,0.021528832989814804,-0.008496230995272774,0.015523188961287848
train/204_D.png,D,0.0938782875445482,0.10520142554247304,0.011323137997924837,0.002985509275031495,-0.008365656333391827,0.0006315694500834551,-0.010330671719222268
train/353_G.png,G,0.020799877647778544,0.020111646402079988,-0.0006882312456985562,0.000609722849907679,-0.004762127083430601,-0.0014529326298080639,0.0022176340139175577
train/526_N.png,N,0.0031508132504470747,0.012432938772034403,0.009282125521587328,-0.0017981104690629746,0.0034646348476135708,-0.0021289278719236956,0.008473132930256325
train/18_A.png,A,0.027353689567430027,0.02808069792802617,0.0007270083605961444,-0.0001546159091623256,0.009456949728083721,-0.001999272991639406,0.0008633224282079272
train/222_D.png,D,0.033700476738451425,0.06690777576853527,0.03320729903008384,0.004853019809009096,-0.021500685529103822,0.004602991944764101,0.024658885418379073
train/360_G.png,G,0.27916139017869707,0.2241452089489236,-0.055016181229773475,0.02082920002735822,0.04237126350163273,-0.038412832418742104,0.01378922189390741
train/536_N.png,N,0.028777292576419214,0.013537117903930132,-0.015240174672489082,0.002462757661589099,0.020705913937899036,-0.006899563318777294,0.012576419213973795
train/23_A.png,A,0.06553651266766021,0.06169895678092399,-0.0038375558867362186,0.004277600809389659,-0.008703768152624419,-0.004172876304023854,-0.0018628912071535011
train/223_D.png,D,0.01024075957951848,0.021905730756188537,0.011664971176670057,0.0004824405705851076,0.012943235683298998,-0.008273991183452026,0.006917599186164802
train/365_G.png,G,0.08543148778224559,0.07627590473244665,-0.009155583049798938,0.00042400410912790676,-0.002516694191139514,-0.006000618620476336,0.003031240334055052
train/541_N.png,N,0.003523424246378703,0.015181173604767497,0.011657749358388795,0.0007860161474849692,0.010734642008804337,-0.006350863456435686,0.012179738135630086
train/38_A.png,A,0.030187681734073487,0.02098863335976738,-0.009199048374306108,-0.0046617653734695175,0.015782641211248928,-0.010256410256410262,0.0007401533174729164
train/224_D.png,D,0.07183248418341638,0.07849504507026482,0.00666256088684844,0.0042198713418580835,0.0016151942815249287,-0.0067185487934606075,0.0007838306925704308
train/368_G.png,G,0.06626560114932208,0.06397593606895932,-0.0022896650803627544,0.0006878545026995919,-0.0006421210708922372,-0.0014815479931759024,0.0016611295681063162
train/542_N.png,N,0.03160143949617634,0.01649422702054281,-0.015107212475633527,-8.605715416509785e-05,0.009499830084339952,-0.004011096116359275,0.01210826210826211
train/3_A.png,A,0.088849685257207,0.07982839501222885,-0.00902129024497815,0.0015702402096624546,0.006351693592219539,-0.007698167675714684,0.0012028386993304177
