key,model,disease,IC,Blur,LC,quality_class,threshold,fov_pixels,gt_area,pred_area,gt_skeleton,pred_skeleton,gt_density,pred_density,signed_density_error,signed_relative_error,absolute_relative_error,gt_area_density,pred_area_density,signed_area_density_error,absolute_area_density_error,area_relative_error,dice,precision,recall,fp,fn,fp_fov,missing_gt_skeleton_fraction_d0,extra_pred_skeleton_count_d0,extra_pred_skeleton_per_gt_d0,missing_gt_skeleton_fraction_d1,extra_pred_skeleton_count_d1,extra_pred_skeleton_per_gt_d1,missing_gt_skeleton_fraction_d2,extra_pred_skeleton_count_d2,extra_pred_skeleton_per_gt_d2,average_precision_archived
train/84_A.png,M1,A,1,0,1,poor,0.5,3242704,193359,188334,14774,13896,0.004556074189935313,0.0042853125046257694,-0.00027076168530954414,-0.05942872614051713,0.05942872614051713,0.059628939304975107,0.05807930665271946,-0.0015496326522556484,0.0015496326522556484,-0.025987929188711154,0.878271280846125,0.8899880000424777,0.8668590549185712,20719,25744,0.006389420681011896,0.1479626370651144,1477,0.09997292540950319,0.13828347096250168,1434,0.09706240693109516,0.1316501962907811,1411,0.09550561797752809,0.940847357305443
train/269_D.png,M0,D,1,0,1,poor,0.5,3245060,301429,268337,18205,15586,0.005610065761495936,0.004802992856834697,-0.000807072904661239,-0.14386157648997527,0.14386157648997527,0.09288857524976425,0.08269092096910381,-0.01019765428066045,0.01019765428066045,-0.10978373016531257,0.8978703537943648,0.9532341794087286,0.8485845754721676,12549,45641,0.003867108774568113,0.16248283438615765,631,0.03466080747047515,0.15204614117000825,545,0.02993683054106015,0.14259818731117824,473,0.025981873111782478,0.965508431638844
train/269_D.png,M1,D,1,0,1,poor,0.5,3245060,301429,273359,18205,15811,0.005610065761495936,0.004872329017028961,-0.0007377367444669744,-0.13150233452348256,0.13150233452348256,0.09288857524976425,0.08423850406463979,-0.008650071185124467,0.008650071185124467,-0.09312309034631705,0.90487971217214,0.95133871575474,0.8627471145775623,13302,41372,0.004099153790684918,0.14644328481186486,763,0.04191156275748421,0.13858829991760505,661,0.03630870639934084,0.1313924745948915,593,0.03257346882724526,0.9662500421427109
train/417_G.png,M0,G,1,1,1,good,0.5,3236504,361614,359481,28728,26058,0.008876244243788977,0.008051280023136076,-0.0008249642206529021,-0.0929406850459482,0.0929406850459482,0.11172981711130281,0.1110707726608711,-0.0006590444504317004,0.0006590444504317004,-0.00589855481259022,0.899623489276725,0.9022924716466239,0.8969702500456288,35124,37257,0.010852450668993457,0.11114592035644667,1115,0.03881230854915065,0.10122528543581175,950,0.03306878306878307,0.09370648844333054,868,0.030214424951267055,0.9575060968552408
train/417_G.png,M1,G,1,1,1,good,0.5,3236504,361614,358819,28728,26093,0.008876244243788977,0.008062094160859989,-0.0008141500829289876,-0.09172236145920357,0.09172236145920357,0.11172981711130281,0.11086623097020736,-0.0008635861410954536,0.0008635861410954536,-0.0077292361468305985,0.901521723741139,0.9050328995956178,0.8980376865939925,34076,36871,0.010528644488003105,0.10790866054023948,1020,0.035505430242272346,0.0985797827903091,867,0.030179615705931494,0.09207045391255918,799,0.027812587023113337,0.9572286102627837
train/566_N.png,M0,N,1,1,1,good,0.5,3294288,363867,348783,24341,23866,0.0073888500337553975,0.00724466106181366,-0.00014418897194173674,-0.019514399572737356,0.019514399572737356,0.1104539129547872,0.10587507831737844,-0.004578834637408751,0.004578834637408751,-0.04145470735186208,0.9477611730863678,0.9682553335454996,0.9281165920514913,11072,26156,0.003360969047029282,0.05324349862372129,733,0.03011379976171891,0.044164167454089805,693,0.02847048190296208,0.03775522780493817,659,0.027073661723018776,0.9912900012849295
train/566_N.png,M1,N,1,1,1,good,0.5,3294288,363867,351567,24341,24125,0.0073888500337553975,0.007323281995988208,-6.556803776718976e-05,-0.008873916437286883,0.008873916437286883,0.1104539129547872,0.10672017747082223,-0.003733735483964972,0.003733735483964972,-0.033803560092011645,0.9495970278180796,0.9662084325320636,0.9335471477215576,11880,24180,0.0036062420771954366,0.047245388439258865,856,0.03516700217739616,0.03865905262725443,809,0.03323610369335689,0.032003615299289266,781,0.03208578119222711,0.9914072956226733
train/88_A.png,M0,A,1,1,1,good,0.5,3235200,326977,325637,20881,19859,0.006454315034619189,0.006138414935707221,-0.00031590009891196833,-0.04894401609118337,0.04894401609118337,0.10106855835806132,0.10065436449060336,-0.00041419386745796243,0.00041419386745796243,-0.004098147576129208,0.9333051390255189,0.9352254197158185,0.9313927279288757,21093,22433,0.006519844213649852,0.0892198649489967,1127,0.05397251089507207,0.08093482112925626,1056,0.05057229059910924,0.0744217230975528,1007,0.048225659690627844,0.9824434564154709
train/88_A.png,M1,A,1,1,1,good,0.5,3235200,326977,329009,20881,19954,0.006454315034619189,0.006167779426310583,-0.00028653560830860534,-0.044394425554331686,0.044394425554331686,0.10106855835806132,0.1016966493570722,0.0006280909990108803,0.0006280909990108803,0.00621450438410041,0.9337851722445296,0.9309015862787948,0.9366866782678904,22734,20702,0.007027077151335312,0.08907619366888558,1190,0.0569896077774053,0.0793544370480341,1122,0.053733058761553563,0.0721229826157751,1076,0.05153009913318328,0.9816691376503501
train/271_D.png,M0,D,1,1,1,good,0.5,3239112,344842,333184,22412,21982,0.006919180318556444,0.006786427885173467,-0.00013275243338297657,-0.019186150276637514,0.019186150276637514,0.10646189449454048,0.1028627599169155,-0.0035991345776249786,0.0035991345776249786,-0.03380678687630857,0.9499399728034028,0.9665590184402613,0.9338827637004773,11142,22800,0.0034398316575654066,0.04689452079243263,860,0.03837230055327503,0.04154024629662681,835,0.037256826699982155,0.03663216134213814,815,0.03636444761734785,0.9923697286789337
