seed,arm,draw,dice
2026,m2_a2_e4,0,0.13448315571705555
2026,m2_a2_e4,1024,0.6336813419636265
2026,m2_a2_e4,2048,0.6569740797616062
2026,m2_a2_e4,4096,0.7038195178268944
2026,m2_a2_e4,6144,0.7159807652792738
2026,m2_a2_e4,8192,0.726948938607932
2026,m4_a1_e4,0,0.13448315571705555
2026,m4_a1_e4,1024,0.6361465469361842
2026,m4_a1_e4,2048,0.6778255633634349
2026,m4_a1_e4,4096,0.7146333065526799
2026,m4_a1_e4,6144,0.7294996958560889
2026,m4_a1_e4,8192,0.7417695692449571
2026,m2_a8_e16,0,0.13448315571705555
2026,m2_a8_e16,1024,0.6135403913041191
2026,m2_a8_e16,2048,0.6628574765320518
2026,m2_a8_e16,4096,0.6879751986111684
2026,m2_a8_e16,6144,0.6959828338010209
2026,m2_a8_e16,8192,0.7012440338096639
2027,m2_a2_e4,0,0.10945296071585567
2027,m2_a2_e4,1024,0.5585418921956186
2027,m2_a2_e4,2048,0.660207853964766
2027,m2_a2_e4,4096,0.6964463790112871
2027,m2_a2_e4,6144,0.7113303518534738
2027,m2_a2_e4,8192,0.7207288589542965
2027,m4_a1_e4,0,0.10945296071585567
2027,m4_a1_e4,1024,0.6036495234791979
2027,m4_a1_e4,2048,0.6637680269931163
2027,m4_a1_e4,4096,0.6677441102902617
2027,m4_a1_e4,6144,0.6991055513268463
2027,m4_a1_e4,8192,0.7070219644181928
2027,m2_a8_e16,0,0.10945296071585567
2027,m2_a8_e16,1024,0.5358170438150194
2027,m2_a8_e16,2048,0.6374935555318151
2027,m2_a8_e16,4096,0.6971293648072268
2027,m2_a8_e16,6144,0.7159405767322109
2027,m2_a8_e16,8192,0.7248252464324452
2028,m2_a2_e4,0,0.10008586868467531
2028,m2_a2_e4,1024,0.6402998098946464
2028,m2_a2_e4,2048,0.6637833119157796
2028,m2_a2_e4,4096,0.7007813291121132
2028,m2_a2_e4,6144,0.7490299787940742
2028,m2_a2_e4,8192,0.7583290807755211
2028,m4_a1_e4,0,0.10008586868467531
2028,m4_a1_e4,1024,0.6392776406088891
2028,m4_a1_e4,2048,0.6663782452561196
2028,m4_a1_e4,4096,0.6974009581737346
2028,m4_a1_e4,6144,0.7440736124207277
2028,m4_a1_e4,8192,0.7535550720688624
2028,m2_a8_e16,0,0.10008586868467531
2028,m2_a8_e16,1024,0.5704597163005601
2028,m2_a8_e16,2048,0.6063508386238665
2028,m2_a8_e16,4096,0.6606568156421582
2028,m2_a8_e16,6144,0.6999899710105455
2028,m2_a8_e16,8192,0.7146091389387546
