seed,arm,key,disease,dice,precision,recall,tp,fp,fn
2026,m2_a2_e4,train/138_A.png,A,0.6433021271048815,0.7129419696063757,0.5860564077189511,177663,71534,125487
2026,m2_a2_e4,train/177_D.png,D,0.8230704029781453,0.8151896954186236,0.831104968732169,289857,65713,58904
2026,m2_a2_e4,train/222_D.png,D,0.2904305580429776,0.20262427098695257,0.5125353893271131,57569,226548,54753
2026,m2_a2_e4,train/421_G.png,G,0.8213971377410393,0.8438746325686604,0.8000859995431274,297708,55079,74387
2026,m2_a2_e4,train/442_G.png,G,0.552750246556201,0.501259436112592,0.6160306901970839,129749,129097,80872
2026,m2_a2_e4,train/453_N.png,N,0.7230243979591559,0.749434689701177,0.6984121548649489,265141,88647,114493
2026,m2_a2_e4,train/489_N.png,N,0.8571364164064877,0.8566654316784491,0.8576079193033018,342207,57257,56818
2026,m2_a2_e4,train/8_A.png,A,0.7502569099634506,0.7928626406261532,0.7119966419123426,225594,58937,91253
2026,m1_a4_e4,train/138_A.png,A,0.6330231222840188,0.6889164024203283,0.5855187201055583,177500,80151,125650
2026,m1_a4_e4,train/177_D.png,D,0.8230740113841692,0.8200601137379246,0.8261101441961687,288115,63219,60646
2026,m1_a4_e4,train/222_D.png,D,0.27636224465387743,0.18894609109760646,0.5143070814266127,57768,247970,54554
2026,m1_a4_e4,train/421_G.png,G,0.8203125219132781,0.8577885452993609,0.7859740120130612,292457,48486,79638
2026,m1_a4_e4,train/442_G.png,G,0.5478335138738438,0.48805392344266735,0.6243014704136814,131491,137928,79130
2026,m1_a4_e4,train/453_N.png,N,0.7189980136086718,0.7120798381742417,0.7260519342313912,275634,111449,104000
2026,m1_a4_e4,train/489_N.png,N,0.8529447274709709,0.8472826006320568,0.8586830399097801,342636,61758,56389
2026,m1_a4_e4,train/8_A.png,A,0.7431504528906171,0.7799913968348678,0.7096327249429535,224845,63421,92002
2026,m4_a1_e4,train/138_A.png,A,0.6479762247284984,0.7070153613365415,0.5980372752762658,181295,75128,121855
2026,m4_a1_e4,train/177_D.png,D,0.824833108175829,0.8123665302309027,0.8376882736315127,292153,67479,56608
2026,m4_a1_e4,train/222_D.png,D,0.28931107901672054,0.2005566718044699,0.518981143498157,58293,232363,54029
2026,m4_a1_e4,train/421_G.png,G,0.8261990918616835,0.860386143079542,0.7946250285545358,295676,47979,76419
2026,m4_a1_e4,train/442_G.png,G,0.5646828562615013,0.5115597801367593,0.6301176046073279,132716,126718,77905
2026,m4_a1_e4,train/453_N.png,N,0.7322098616241773,0.7350495869523668,0.7293919933409547,276902,99810,102732
2026,m4_a1_e4,train/489_N.png,N,0.8593357350737829,0.8569765818935867,0.8617079130380302,343843,57385,55182
2026,m4_a1_e4,train/8_A.png,A,0.7523252776611328,0.7899641353067595,0.7181100026195608,227531,60496,89316
2026,m2_a1_e2,train/138_A.png,A,0.6054684793822637,0.7001459322995379,0.533346528121392,161684,69245,141466
2026,m2_a1_e2,train/177_D.png,D,0.819169442309955,0.830134130974952,0.8084906282525856,281970,57698,66791
2026,m2_a1_e2,train/222_D.png,D,0.27299501920041697,0.18856812933025405,0.4943109987357775,55522,238918,56800
2026,m2_a1_e2,train/421_G.png,G,0.8089724032727778,0.8357330124210255,0.7838723981778847,291675,57330,80420
2026,m2_a1_e2,train/442_G.png,G,0.5469747708678154,0.4976090703583087,0.6072139055459806,127892,129121,82729
2026,m2_a1_e2,train/453_N.png,N,0.7271437510859355,0.7213005559371234,0.7330823898807799,278303,107532,101331
2026,m2_a1_e2,train/489_N.png,N,0.8490428110944239,0.8710629817476302,0.8281085145041037,330436,48912,68589
2026,m2_a1_e2,train/8_A.png,A,0.7302631468993123,0.7761290001705223,0.6895157599724788,218471,63017,98376
2026,m2_a4_e8,train/138_A.png,A,0.6096176993179343,0.666954074794046,0.5613590631700478,170176,84978,132974
2026,m2_a4_e8,train/177_D.png,D,0.8090202717238903,0.8382846706351158,0.7817301819870914,272637,52595,76124
2026,m2_a4_e8,train/222_D.png,D,0.22764077153814025,0.1551849095674119,0.4270134078809138,47963,261107,64359
2026,m2_a4_e8,train/421_G.png,G,0.7986199343705693,0.7957105430252971,0.8015506792620164,298253,76573,73842
2026,m2_a4_e8,train/442_G.png,G,0.5304120436096438,0.4750043193137174,0.6004529462874072,126468,139778,84153
2026,m2_a4_e8,train/453_N.png,N,0.7231620018015852,0.7098640292899026,0.7369677110058636,279778,114351,99856
2026,m2_a4_e8,train/489_N.png,N,0.8451283245368933,0.8733847572958304,0.8186429421715431,326659,47356,72366
2026,m2_a4_e8,train/8_A.png,A,0.7223965379605899,0.772606029233081,0.6783147702203272,214922,63256,101925
2026,m2_a8_e16,train/138_A.png,A,0.5872179300576862,0.6374586642766634,0.5443179943922151,165010,93846,138140
2026,m2_a8_e16,train/177_D.png,D,0.8078587127574537,0.8301304547764843,0.7867508121607634,274388,56148,74373
2026,m2_a8_e16,train/222_D.png,D,0.2207284899138983,0.1481880398731918,0.43239080500703336,48567,279172,63755
2026,m2_a8_e16,train/421_G.png,G,0.7837959162733429,0.7496718475900732,0.8211747000094062,305555,102030,66540
2026,m2_a8_e16,train/442_G.png,G,0.5098646959558697,0.44465880823156945,0.5974807830178377,125842,157166,84779
2026,m2_a8_e16,train/453_N.png,N,0.7014507229253201,0.6524167527688655,0.7584541953565803,287935,153401,91699
2026,m2_a8_e16,train/489_N.png,N,0.8456278555184494,0.8645655230559359,0.8275020362132699,330194,51725,68831
2026,m2_a8_e16,train/8_A.png,A,0.7089507684257836,0.7564066319062973,0.6670979999810634,211368,68069,105479
