step,dice,precision,recall,cldice,average_precision,thin_recall_d0,thin_recall_d1,thin_recall_d2
2500,0.8118940439457811,0.8760394003214179,0.766186975468913,0.8168726367226056,0.8928706552739436,0.4458116014201328,0.4800032274760798,0.5085559681040484
5000,0.8843574601636572,0.8949129981538972,0.8782931941718548,0.8891478102984826,0.9450811087729397,0.6275929554996209,0.6535780844966284,0.673778473455623
7500,0.9009756383904322,0.9039717497664863,0.902523872091495,0.9062651701182246,0.9549370024934848,0.7078304740103861,0.7320839916457291,0.751169523819193
10000,0.9084800026538035,0.9240749101923762,0.8974589948598934,0.9112561004240018,0.9591916241654975,0.7093082842263375,0.7331359955954813,0.7526666548012728
