step,loss,pixel_loss,skeleton_loss,empty_skeleton_crops,lr,gradient_norm
1,1.5729870796203613,1.5729870796203613,0.4202413856983185,0,0.001,4.967507839202881
2,1.332749605178833,1.332749605178833,0.6250786781311035,0,0.0009999999755727293,1.3688163757324219
3,1.270298957824707,1.270298957824707,0.7095451354980469,0,0.0009999999022909196,2.078319549560547
4,1.2258412837982178,1.2258412837982178,0.7675474286079407,0,0.0009999997801545782,0.5386329889297485
5,1.21181058883667,1.21181058883667,0.7960667610168457,0,0.0009999996091637172,0.5250678062438965
6,1.2123749256134033,1.2123749256134033,0.7967240214347839,0,0.0009999993893183533,0.6976812481880188
7,1.2342305183410645,1.2342305183410645,0.7758700847625732,1,0.0009999991206185081,0.6683483123779297
8,1.21613609790802,1.21613609790802,0.7741909027099609,0,0.0009999988030642087,0.6315479874610901
9,1.188457727432251,1.188457727432251,0.7642018795013428,0,0.0009999984366554858,0.7246061563491821
10,1.1931366920471191,1.1931366920471191,0.7227965593338013,0,0.000999998021392376,0.9813216328620911
11,1.1790509223937988,1.1790509223937988,0.7187424302101135,0,0.0009999975572749199,0.7848858833312988
12,1.1876354217529297,1.1876354217529297,0.6955307722091675,0,0.0009999970443031634,0.9330037832260132
13,1.2306604385375977,1.2306604385375977,0.6555229425430298,0,0.0009999964824771574,1.1979098320007324
14,1.1544009447097778,1.1544009447097778,0.6914539933204651,0,0.0009999958717969572,0.960480272769928
15,1.154615879058838,1.154615879058838,0.7195038795471191,0,0.0009999952122626231,0.835296630859375
16,1.1733754873275757,1.1733754873275757,0.7401050329208374,0,0.00099999450387422,1.060951828956604
17,1.1556005477905273,1.1556005477905273,0.7364274859428406,0,0.000999993746631818,1.311233401298523
18,1.1357123851776123,1.1357123851776123,0.7072787880897522,0,0.0009999929405354918,0.9256472587585449
19,1.1133038997650146,1.1133038997650146,0.6918622255325317,0,0.000999992085585321,1.2851701974868774
20,1.099874496459961,1.099874496459961,0.6611080169677734,1,0.00099999118178139,1.1328483819961548
21,1.1331727504730225,1.1331727504730225,0.7049028277397156,0,0.0009999902291237877,1.0047612190246582
22,1.1288747787475586,1.1288747787475586,0.6864756941795349,0,0.0009999892276126088,0.9533945322036743
23,1.1448700428009033,1.1448700428009033,0.642867922782898,0,0.0009999881772479514,1.5581237077713013
24,1.1393682956695557,1.1393682956695557,0.7242143154144287,0,0.0009999870780299195,1.246873140335083
25,1.0891423225402832,1.0891423225402832,0.7331458330154419,0,0.0009999859299586217,1.8889083862304688
26,1.0334725379943848,1.0334725379943848,0.6822360754013062,0,0.000999984733034171,0.8683003783226013
27,1.1110025644302368,1.1110025644302368,0.7265723943710327,0,0.0009999834872566858,0.7229530811309814
28,1.074337363243103,1.074337363243103,0.6689697504043579,0,0.0009999821926262888,0.719211220741272
