key,disease,Blur,quality_class,gt_skeleton,M0_mare,M1_mare,recovered_d0,regressed_d0,both_missed_d0,M0_extra_d0,M0_supported_d0,M1_extra_d0,M1_supported_d0,delta_extra_d0,delta_supported_d0,M0_bothmiss_prob_low_per_gt,M0_bothmiss_prob_mid_per_gt,M0_bothmiss_prob_near_per_gt,M1_bothmiss_prob_low_per_gt,M1_bothmiss_prob_mid_per_gt,M1_bothmiss_prob_near_per_gt,recovered_d1,regressed_d1,both_missed_d1,M0_extra_d1,M0_supported_d1,M1_extra_d1,M1_supported_d1,delta_extra_d1,delta_supported_d1,recovered_d2,regressed_d2,both_missed_d2,M0_extra_d2,M0_supported_d2,M1_extra_d2,M1_supported_d2,delta_extra_d2,delta_supported_d2,delta_mare
train/105_A.png,A,1,good,23801,0.07692954077559766,0.05982941893197765,0.01756228729885299,0.007520692407882021,0.083693962438553,0.031175160707533296,0.891895298516869,0.040208394605268684,0.8999621864627536,0.009033233897735388,0.008066887945884615,0.0722238561404983,0.007604722490651653,0.0038653838074030502,0.07310617200957943,0.007016511911264233,0.00357127851770934,0.015461535229612201,0.007898827780345364,0.07671946556867358,0.028486198058905086,0.8945842611654973,0.03638502583925045,0.9037855552287719,0.007898827780345362,0.009201294063274634,0.01457921936053107,0.006596361497416075,0.07251796143019201,0.026931641527666906,0.8961388176967354,0.034452333935548925,0.9057182471324734,0.007520692407882019,0.009579429435737974,-0.01710012184362001
train/110_A.png,A,1,good,11103,0.026299198414842836,0.006935062595694858,0.030352157074664505,0.011888678735476898,0.13581914797802397,0.13771052868594075,0.8359902728992165,0.14239394758173465,0.8506709898225705,0.004683418895793906,0.014680716923354042,0.11330271097901468,0.017202557867243087,0.00531387913176619,0.11105106727911375,0.013960190939385752,0.010807889759524453,0.029091236602719985,0.011888678735476898,0.1257317842024678,0.13329730703413492,0.8404034945510223,0.13726019994596056,0.8558047374583446,0.003962892911825638,0.015401242907322366,0.028821039358731874,0.011618481491488787,0.11798612987480861,0.12942447987030534,0.8442763217148519,0.13239664955417454,0.8606682878501306,0.002972169683869208,0.016391966135278713,-0.01936413581914798
train/112_A.png,A,1,good,35642,0.04256214578306492,0.03686661803490264,0.00948319398462488,0.00650917456932832,0.041271533583973966,0.02449357499579148,0.9329442792211436,0.026962572246226363,0.936170809718871,0.0024689972504348817,0.0032265304977273646,0.029094888053420122,0.00850120644183828,0.0036754390887155605,0.0284776387408114,0.008304808933280962,0.0044890859098816,0.008529263228775041,0.006172493126087201,0.0360529712137366,0.020930363054822963,0.9365074911621121,0.023006565288143203,0.9401268166769542,0.002076202233320241,0.00361932551484212,0.00838897929409124,0.005835811682846081,0.03181639638628584,0.018040514000336683,0.9393973402165984,0.020228943381403963,0.9429044385836934,0.0021884293810672806,0.003507098367095063,-0.005695527748162281
train/113_A.png,A,1,good,22361,0.005008720540226287,0.025311927015786415,0.009570233889360942,0.005500648450427083,0.03930951209695452,0.0719556370466437,0.9330530834935826,0.08886006886990742,0.936451858145879,0.01690443182326372,0.0033987746522963214,0.02920262957828362,0.00778140512499441,0.00232547739367649,0.027682125128572068,0.008005008720540226,0.0036223782478422254,0.009704396046688431,0.005768972765082063,0.035061043781584006,0.06717052010196324,0.937838200438263,0.08380662761057198,0.9415052994052144,0.016636107508608736,0.0036670989669513876,0.009346630293815125,0.005992576360627879,0.031215061938195968,0.06395062832610349,0.9410580922141228,0.07893206922767318,0.9463798577881133,0.014981440901569693,0.005321765573990445,0.02030320647556013
train/117_A.png,A,1,good,24174,0.09539174319516837,0.07421196326631918,0.02122114668652271,0.0071978158351948375,0.07210225862496898,0.011293124844874658,0.8933151319599569,0.01435426491271614,0.9114337718209646,0.003061140067841483,0.0181186398610077,0.054480019856043685,0.012947795151816,0.004674443617109291,0.05543145528253496,0.011417225117895259,0.005253578224538761,0.019814676925622568,0.006866881773806569,0.06689004715810375,0.009514354264912716,0.8950939025399189,0.012203193513692397,0.9135848432199885,0.002688839248779681,0.018490940680069512,0.018656407710763632,0.0069909820468271695,0.061719202448912054,0.008604285596094979,0.8960039712087366,0.01096219078348639,0.9148258459501944,0.002357905187391412,0.0188218747414578,-0.021179779928849188
train/120_A.png,A,1,good,19104,0.1583961474036851,0.13929020100502512,0.02355527638190955,0.006595477386934673,0.16781825795644892,0.05559045226130653,0.7860134003350083,0.06035385259631491,0.8003559463986599,0.004763400335008376,0.014342546063651596,0.15169597989949749,0.012196398659966499,0.003925879396984924,0.14536222780569513,0.014656616415410386,0.007799413735343383,0.022874790619765495,0.006804857621440536,0.16033291457286433,0.05019891122278057,0.7914049413735343,0.05360134003350084,0.807108458961474,0.0034024288107202677,0.01570351758793964,0.022246649916247908,0.00675251256281407,0.15467964824120603,0.04601130653266332,0.7955925460636516,0.05067001675041876,0.8100397822445561,0.004658710217755442,0.014447236180904488,-0.01910594639865998
train/133_A.png,A,1,good,25316,0.040725233054194974,0.03385210933796808,0.010072681308263548,0.005964607362932532,0.037683678306209514,0.03258808658555854,0.9266866803602465,0.03634065413177437,0.9298072365302575,0.003752567546215828,0.0031205561700110573,0.02749249486490757,0.007663137936482857,0.0025280455048190867,0.022199399589192606,0.010665191973455522,0.004819086743561384,0.009835677042186759,0.0050560910096381735,0.03167957023226418,0.02472744509401169,0.9345473218517933,0.0267814820666772,0.9393664085953547,0.0020540369726655093,0.004819086743561352,0.009717174909148365,0.005411597408753357,0.02654447780060041,0.020658871859693475,0.9386158950861115,0.022870911676410175,0.9432769789856218,0.0022120398167167,0.004661083899510254,-0.006873123716226892
train/137_A.png,A,1,good,26416,0.038234403391883706,0.016959418534221685,0.016807995154451846,0.005791944276196245,0.03543307086614173,0.027180496668685643,0.9345850999394306,0.03747728649303452,0.9455632949727438,0.010296789824348878,0.01097819503331321,0.025136281041792854,0.006965475469412477,0.003331314354936402,0.024303452453058753,0.0063976377952755905,0.00473198061780739,0.01589945487583283,0.0055269533615990305,0.030852513628104178,0.024947001817080556,0.9368185947910357,0.03365384615384615,0.9493867353119322,0.008706844336765596,0.012568140520896498,0.015142337976983646,0.00511053906723198,0.02736977589339794,0.02354633555420957,0.9382192610539067,0.031496062992125984,0.9515445184736523,0.007949727437916415,0.013325257419745551,-0.02127498485766202
train/138_A.png,A,0,poor,17398,0.03695827106563973,0.03287734222324405,0.026037475571904816,0.010403494654557996,0.09110242556615702,0.07621565697206575,0.8868260719622946,0.07793999310265548,0.8891826646741005,0.0017243361305897265,0.0023565927118058827,0.06719163122197953,0.016496148982641682,0.007414645361535808,0.06207610070123003,0.019140131049545924,0.009886193815381078,0.02500287389355098,0.007931946200712726,0.08230831130014944,0.07357167490516152,0.8894700540291988,0.07541096677779055,0.8917116909989654,0.0018392918726290314,0.002241636969766647,0.025347741119668928,0.006552477296240947,0.07495114380963329,0.07230716174272905,0.8907345671916312,0.0738590642602598,0.8932635935164962,0.0015519025175307483,0.002529026324864958,-0.0040809288423956785
train/13_A.png,A,1,good,20865,0.10242032111190989,0.08761083153606518,0.014426072369997604,0.005942966690630242,0.08382458662832494,0.03302180685358255,0.8645578720345075,0.0385334291876348,0.8738557392763,0.005511622334052245,0.00929786724179249,0.0748142822909178,0.0061346752935537985,0.002875629043853343,0.07299305056314402,0.006853582554517134,0.003977953510663791,0.016055595494847832,0.0056554037862449075,0.07816918284208003,0.02827701893122454,0.8693026599568655,0.03364485981308411,0.8787443086508507,0.005367840881859574,0.009441648693985227,0.017062065660196503,0.005511622334052241,0.07179487179487179,0.0240594296669063,0.8735202492211838,0.02981068775461299,0.8825784807093219,0.005751258087706688,0.009058231488138113,-0.014809489575844714
